date,total_price,quantity,invoice_count,StockCode,Description,rank_by_revenue,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2009-12-01,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,,,,,,,
2009-12-02,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,,0.0,
2009-12-03,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,0.0,0.0,0.0
2009-12-04,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,0.0,0.0,0.0
2009-12-05,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,0.0,0.0,0.0
2009-12-06,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,0.0,0.0,0.0
2009-12-07,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,,,0.0,0.0,0.0,0.0
2009-12-08,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-09,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-10,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-11,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-12,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-13,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-14,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,,0.0,0.0,0.0,0.0
2009-12-15,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-16,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-17,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-18,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-19,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-20,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-21,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-22,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-23,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-24,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-25,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-26,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-28,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-29,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-30,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-16,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,0.0,0,0,22423,REGENCY CAKESTAND 3 TIER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
