CustomerID,recency_days,frequency,total_revenue,orders_per_day,is_inactive_90d,is_high_value,churn_risk_score,churn_label
12346,326,12,77556.46,0.03,True,True,0.3915532494045594,Lost
12347,2,8,5633.32,0.01990049751243781,False,True,0.09316093909493023,Active
12348,75,5,2019.4,0.013812154696132596,False,False,0.38556481796529435,Active
12349,19,4,4428.69,0.007017543859649123,False,True,0.24715039128955427,Active
12350,310,1,334.4,,True,False,0.7600969717591017,Lost
12351,375,1,300.93,,True,False,0.787504253147329,Lost
12352,36,10,2849.84,0.028089887640449437,False,True,0.24384144266757402,Active
12353,204,2,406.76,0.00980392156862745,True,False,0.6411959850289214,Lost
12354,232,1,1079.4,,True,False,0.6646478394011568,Lost
12355,214,2,947.61,0.0056657223796034,True,False,0.6012164001361007,Lost
12356,23,6,6373.68,0.014962593516209476,False,True,0.21533684926845864,Active
12357,33,3,18287.66,0.008450704225352112,False,True,0.3047465124191902,Active
12358,2,5,3887.07,0.00684931506849315,False,True,0.14283769989792447,Active
12359,58,10,8935.94,0.014792899408284023,False,True,0.256167063627084,Active
12360,52,8,4252.89,0.013266998341625208,False,True,0.27704151071793126,Active
12361,287,4,511.25,0.01015228426395939,True,False,0.5946070091867982,Lost
12362,3,11,5356.23,0.014965986394557823,False,True,0.08135420210956108,Active
12363,110,2,552.0,0.015151515151515152,True,False,0.5783599863899286,At Risk
12364,8,4,1313.1,0.038461538461538464,False,False,0.24561075195644777,Active
12365,291,2,641.38,,True,False,0.6551378019734604,Lost
12366,634,1,500.24,,True,False,0.8672932970398094,Lost
12367,4,1,168.9,,False,False,0.4649880911874787,Active
12368,628,1,917.6999999999999,,True,False,0.833497788363389,Lost
12369,413,3,1791.15,0.013157894736842105,True,False,0.6158727458319155,Lost
12370,51,7,4320.31,0.011345218800648298,False,True,0.28394011568560734,Active
12371,45,5,4067.38,0.008333333333333333,False,True,0.30439775433821026,Active
12372,72,3,1298.04,0.013392857142857142,False,False,0.45207553589656346,Active
12373,311,3,1127.65,0.008287292817679558,True,False,0.5877339231030964,Lost
12374,25,4,2989.2200000000003,0.007104795737122558,False,True,0.2849013269819667,Active
12375,11,2,457.5,0.022988505747126436,False,False,0.3923273222184417,Active
12376,390,2,503.15,0.07142857142857142,True,False,0.7082000680503573,Lost
12377,315,4,3426.32,0.014598540145985401,True,True,0.5089996597482137,Lost
12378,130,2,5416.32,0.004629629629629629,True,True,0.4841867982306907,At Risk
12379,82,4,1620.22,0.008849557522123894,False,False,0.42726267437904053,Active
12380,22,11,9676.300000000001,0.0171875,False,True,0.15962912555290917,Active
